(0, 0) => (19, 16) @ (22, 18) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (21, 24) @ (22, 23) == 1
(21, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (18, 27) @ (22, 26) == 1
(18, 27) => (17, 28) @ (22, 27) == 1
(17, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (13, 32) @ (22, 31) == 1
(13, 32) => (12, 33) @ (22, 32) == 1
(12, 33) => (13, 32) @ (22, 33) == -1
(13, 32) => (14, 31) @ (22, 32) == -1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (16, 19) @ (22, 20) == -1
(16, 19) => (15, 18) @ (22, 19) == -1
(15, 18) => (14, 17) @ (22, 18) == -1
(14, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (13, 16) @ (22, 15) == 1
(13, 16) => (14, 17) @ (22, 16) == 1
(14, 17) => (15, 18) @ (22, 17) == 1
(15, 18) => (16, 19) @ (22, 18) == 1
(16, 19) => (17, 20) @ (22, 19) == 1
(17, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (21, 24) @ (22, 23) == 1
(21, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (18, 27) @ (22, 26) == 1
(18, 27) => (17, 28) @ (22, 27) == 1
(17, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (13, 32) @ (22, 31) == 1
(13, 32) => (12, 33) @ (22, 32) == 1
(12, 33) => (11, 34) @ (22, 33) == 1
(11, 34) => (12, 35) @ (22, 34) == 1
(12, 35) => (13, 34) @ (22, 35) == -1
(13, 34) => (12, 33) @ (22, 34) == -1
(12, 33) => (13, 34) @ (22, 33) == 1
(13, 34) => (14, 35) @ (22, 34) == 1
(14, 35) => (15, 34) @ (22, 35) == -1
(15, 34) => (16, 35) @ (22, 34) == 1
(16, 35) => (15, 34) @ (22, 35) == -1
(15, 34) => (14, 33) @ (22, 34) == -1
(14, 33) => (13, 32) @ (22, 33) == -1
(13, 32) => (12, 31) @ (22, 32) == -1
(12, 31) => (11, 32) @ (22, 31) == 1
(11, 32) => (12, 33) @ (22, 32) == 1
(12, 33) => (13, 34) @ (22, 33) == 1
(13, 34) => (14, 35) @ (22, 34) == 1
(14, 35) => (15, 34) @ (22, 35) == -1
(15, 34) => (16, 33) @ (22, 34) == -1
(16, 33) => (17, 32) @ (22, 33) == -1
(17, 32) => (18, 31) @ (22, 32) == -1
(18, 31) => (19, 30) @ (22, 31) == -1
(19, 30) => (20, 29) @ (22, 30) == -1
(20, 29) => (21, 28) @ (22, 29) == -1
(21, 28) => (20, 27) @ (22, 28) == -1
(20, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (18, 25) @ (22, 26) == -1
(18, 25) => (17, 24) @ (22, 25) == -1
(17, 24) => (18, 23) @ (22, 24) == -1
(18, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (20, 21) @ (22, 22) == -1
(20, 21) => (21, 20) @ (22, 21) == -1
(21, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (18, 17) @ (22, 18) == -1
(18, 17) => (17, 16) @ (22, 17) == -1
(17, 16) => (16, 15) @ (22, 16) == -1
(16, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (13, 14) @ (22, 13) == 1
(13, 14) => (12, 15) @ (22, 14) == 1
(12, 15) => (11, 16) @ (22, 15) == 1
(11, 16) => (10, 17) @ (22, 16) == 1
(10, 17) => (11, 16) @ (22, 17) == -1
(11, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (13, 14) @ (22, 15) == -1
(13, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (13, 14) @ (22, 13) == 1
(13, 14) => (12, 15) @ (22, 14) == 1
(12, 15) => (11, 16) @ (22, 15) == 1
(11, 16) => (10, 17) @ (22, 16) == 1
(10, 17) => (11, 16) @ (22, 17) == -1
(11, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (13, 14) @ (22, 15) == -1
(13, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (15, 12) @ (22, 13) == -1
(15, 12) => (14, 11) @ (22, 12) == -1
(14, 11) => (13, 10) @ (22, 11) == -1
(13, 10) => (12, 9) @ (22, 10) == -1
(12, 9) => (13, 10) @ (22, 9) == 1
(13, 10) => (14, 11) @ (22, 10) == 1
(14, 11) => (15, 12) @ (22, 11) == 1
(15, 12) => (16, 13) @ (22, 12) == 1
(16, 13) => (17, 14) @ (22, 13) == 1
(17, 14) => (18, 15) @ (22, 14) == 1
(18, 15) => (19, 16) @ (22, 15) == 1
(19, 16) => (20, 17) @ (22, 16) == 1
(20, 17) => (21, 18) @ (22, 17) == 1
(21, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (19, 20) @ (22, 19) == 1
(19, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (17, 22) @ (22, 21) == 1
(17, 22) => (16, 23) @ (22, 22) == 1
(16, 23) => (17, 24) @ (22, 23) == 1
(17, 24) => (18, 25) @ (22, 24) == 1
(18, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (20, 27) @ (22, 26) == 1
(20, 27) => (21, 28) @ (22, 27) == 1
(21, 28) => (20, 29) @ (22, 28) == 1
(20, 29) => (19, 30) @ (22, 29) == 1
(19, 30) => (18, 31) @ (22, 30) == 1
(18, 31) => (17, 32) @ (22, 31) == 1
(17, 32) => (16, 33) @ (22, 32) == 1
(16, 33) => (15, 34) @ (22, 33) == 1
(15, 34) => (14, 35) @ (22, 34) == 1
(14, 35) => (13, 34) @ (22, 35) == -1
(13, 34) => (12, 33) @ (22, 34) == -1
(12, 33) => (11, 32) @ (22, 33) == -1
(11, 32) => (12, 33) @ (22, 32) == 1
(12, 33) => (13, 34) @ (22, 33) == 1
(13, 34) => (14, 35) @ (22, 34) == 1
(14, 35) => (15, 34) @ (22, 35) == -1
(15, 34) => (16, 33) @ (22, 34) == -1
(16, 33) => (17, 32) @ (22, 33) == -1
(17, 32) => (18, 31) @ (22, 32) == -1
(18, 31) => (19, 30) @ (22, 31) == -1
(19, 30) => (20, 29) @ (22, 30) == -1
(20, 29) => (21, 28) @ (22, 29) == -1
(21, 28) => (20, 27) @ (22, 28) == -1
(20, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (18, 25) @ (22, 26) == -1
(18, 25) => (17, 24) @ (22, 25) == -1
(17, 24) => (16, 23) @ (22, 24) == -1
(16, 23) => (15, 22) @ (22, 23) == -1
(15, 22) => (16, 21) @ (22, 22) == -1
(16, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (18, 19) @ (22, 20) == -1
(18, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (20, 17) @ (22, 18) == -1
(20, 17) => (21, 16) @ (22, 17) == -1
(21, 16) => (20, 15) @ (22, 16) == -1
(20, 15) => (19, 14) @ (22, 15) == -1
(19, 14) => (18, 13) @ (22, 14) == -1
(18, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (18, 13) @ (22, 12) == 1
(18, 13) => (19, 14) @ (22, 13) == 1
(19, 14) => (20, 15) @ (22, 14) == 1
(20, 15) => (21, 16) @ (22, 15) == 1
(21, 16) => (20, 17) @ (22, 16) == 1
(20, 17) => (19, 18) @ (22, 17) == 1
(19, 18) => (18, 19) @ (22, 18) == 1
(18, 19) => (17, 20) @ (22, 19) == 1
(17, 20) => (16, 21) @ (22, 20) == 1
(16, 21) => (15, 22) @ (22, 21) == 1
(15, 22) => (16, 21) @ (22, 22) == -1
(16, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (18, 19) @ (22, 20) == -1
(18, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (20, 17) @ (22, 18) == -1
(20, 17) => (21, 16) @ (22, 17) == -1
(21, 16) => (20, 15) @ (22, 16) == -1
(20, 15) => (19, 14) @ (22, 15) == -1
(19, 14) => (18, 13) @ (22, 14) == -1
(18, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (16, 11) @ (22, 12) == -1
(16, 11) => (17, 12) @ (22, 11) == 1
(17, 12) => (18, 13) @ (22, 12) == 1
(18, 13) => (19, 14) @ (22, 13) == 1
(19, 14) => (20, 15) @ (22, 14) == 1
(20, 15) => (21, 16) @ (22, 15) == 1
(21, 16) => (20, 17) @ (22, 16) == 1
(20, 17) => (19, 18) @ (22, 17) == 1
(19, 18) => (18, 19) @ (22, 18) == 1
(18, 19) => (17, 20) @ (22, 19) == 1
(17, 20) => (16, 21) @ (22, 20) == 1
(16, 21) => (15, 22) @ (22, 21) == 1
(15, 22) => (14, 23) @ (22, 22) == 1
(14, 23) => (15, 24) @ (22, 23) == 1
(15, 24) => (14, 23) @ (22, 24) == -1
(14, 23) => (13, 22) @ (22, 23) == -1
(13, 22) => (12, 21) @ (22, 22) == -1
(12, 21) => (11, 20) @ (22, 21) == -1
(11, 20) => (12, 21) @ (22, 20) == 1
(12, 21) => (13, 22) @ (22, 21) == 1
(13, 22) => (14, 23) @ (22, 22) == 1
(14, 23) => (15, 24) @ (22, 23) == 1
(15, 24) => (16, 25) @ (22, 24) == 1
(16, 25) => (15, 24) @ (22, 25) == -1
(15, 24) => (14, 23) @ (22, 24) == -1
(14, 23) => (13, 22) @ (22, 23) == -1
(13, 22) => (12, 21) @ (22, 22) == -1
(12, 21) => (11, 20) @ (22, 21) == -1
(11, 20) => (10, 19) @ (22, 20) == -1
(10, 19) => (11, 18) @ (22, 19) == -1
(11, 18) => (12, 17) @ (22, 18) == -1
(12, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (14, 15) @ (22, 16) == -1
(14, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (16, 13) @ (22, 14) == -1
(16, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (18, 11) @ (22, 12) == -1
(18, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (20, 9) @ (22, 10) == -1
(20, 9) => (21, 8) @ (22, 9) == -1
(21, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (16, 3) @ (22, 4) == -1
(16, 3) => (17, 2) @ (22, 3) == -1
(17, 2) => (18, 1) @ (22, 2) == -1
(18, 1) => (19, 2) @ (22, 1) == 1
(19, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (21, 4) @ (22, 3) == 1
(21, 4) => (20, 5) @ (22, 4) == 1
(20, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (18, 7) @ (22, 6) == 1
(18, 7) => (17, 8) @ (22, 7) == 1
(17, 8) => (16, 9) @ (22, 8) == 1
(16, 9) => (15, 10) @ (22, 9) == 1
(15, 10) => (14, 11) @ (22, 10) == 1
(14, 11) => (13, 12) @ (22, 11) == 1
(13, 12) => (14, 11) @ (22, 12) == -1
(14, 11) => (15, 10) @ (22, 11) == -1
(15, 10) => (16, 9) @ (22, 10) == -1
(16, 9) => (17, 8) @ (22, 9) == -1
(17, 8) => (18, 7) @ (22, 8) == -1
(18, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (20, 5) @ (22, 6) == -1
(20, 5) => (21, 4) @ (22, 5) == -1
(21, 4) => (20, 3) @ (22, 4) == -1
(20, 3) => (19, 2) @ (22, 3) == -1
(19, 2) => (18, 1) @ (22, 2) == -1
(18, 1) => (17, 2) @ (22, 1) == 1
(17, 2) => (16, 3) @ (22, 2) == 1
(16, 3) => (17, 2) @ (22, 3) == -1
(17, 2) => (18, 1) @ (22, 2) == -1
(18, 1) => (19, 2) @ (22, 1) == 1
(19, 2) => (20, 3) @ (22, 2) == 1
(20, 3) => (21, 4) @ (22, 3) == 1
(21, 4) => (20, 5) @ (22, 4) == 1
(20, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (18, 7) @ (22, 6) == 1
(18, 7) => (17, 8) @ (22, 7) == 1
(17, 8) => (16, 9) @ (22, 8) == 1
(16, 9) => (15, 10) @ (22, 9) == 1
